rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id,start_longitude,start_latitude,end_longitude,end_latitude,trip_dist
50710205,3540,5462,2016-01-07 16:56:00 UTC,224,"Whiteley's, Bayswater",2016-01-07 15:57:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.18740235,51.51031,2477.562494
50759645,1140,6886,2016-01-10 13:19:00 UTC,300,"Serpentine Car Park, Hyde Park",2016-01-10 13:00:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.17306032,51.505014,1368.741145
50763566,1680,3099,2016-01-10 15:37:00 UTC,307,"Black Lion Gate, Kensington Gardens",2016-01-10 15:09:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.187842717,51.50990837,2492.548463
50645105,3480,12907,2016-01-04 18:08:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-04 17:10:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50667515,1320,9470,2016-01-05 17:05:00 UTC,160,"Waterloo Place, St. James's",2016-01-05 16:43:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.131773845,51.50663341,1555.115101
50728540,1380,11314,2016-01-08 10:27:00 UTC,108,"Abbey Orchard Street, Westminster",2016-01-08 10:04:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.132102166,51.49812559,1583.120518
50746891,7080,9812,2016-01-09 14:28:00 UTC,222,"Knightsbridge, Hyde Park",2016-01-09 12:30:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.155349725,51.50275704,132.7924149
50758494,6060,2225,2016-01-10 14:01:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-10 12:20:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50750641,1200,10381,2016-01-09 15:50:00 UTC,248,"Triangle Car Park, Hyde Park",2016-01-09 15:30:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.170279555,51.50645179,1217.716526
50689442,840,10244,2016-01-06 14:56:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-06 14:42:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50741796,900,7500,2016-01-08 23:47:00 UTC,428,"Exhibition Road, Knightsbridge",2016-01-08 23:32:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.174554,51.499917,1498.750761
50756176,7080,1000,2016-01-10 12:15:00 UTC,341,"Craven Street, Strand",2016-01-10 10:17:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.12602103,51.50810309,1982.40135
50695119,1020,4026,2016-01-06 18:24:00 UTC,36,"De Vere Gardens, Kensington",2016-01-06 18:07:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.184980612,51.50173726,2182.946733
50639599,1920,2644,2016-01-04 11:57:00 UTC,303,"Albert Gate, Hyde Park",2016-01-04 11:25:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.158456089,51.50295379,342.0790639
50650122,1140,3007,2016-01-04 19:18:00 UTC,312,"Grove End Road, St. John's Wood",2016-01-04 18:59:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.176770502,51.53088935,3481.961473
50756985,1080,258,2016-01-10 11:28:00 UTC,300,"Serpentine Car Park, Hyde Park",2016-01-10 11:10:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.17306032,51.505014,1368.741145
50642279,6300,10986,2016-01-04 16:26:00 UTC,153,"Bayswater Road, Hyde Park",2016-01-04 14:41:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.174411,51.511933,1746.726826
50729940,480,1190,2016-01-08 12:17:00 UTC,350,"Queen's Gate, Kensington Gardens",2016-01-08 12:09:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.179854184,51.50171544,1829.366014
50682468,1020,12396,2016-01-06 08:59:00 UTC,193,"Bankside Mix, Bankside",2016-01-06 08:42:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.100186337,51.50581776,3703.676124
50696048,2100,477,2016-01-06 18:59:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-06 18:24:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50685779,8520,8553,2016-01-06 12:24:00 UTC,341,"Craven Street, Strand",2016-01-06 10:02:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.12602103,51.50810309,1982.40135
50748114,4740,13245,2016-01-09 14:49:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-09 13:30:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50642966,1200,3007,2016-01-04 15:46:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-04 15:26:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50758234,1380,13257,2016-01-10 12:34:00 UTC,168,"Argyll Road, Kensington",2016-01-10 12:11:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.195455928,51.50040123,2918.329867
50642300,2340,5819,2016-01-04 15:22:00 UTC,303,"Albert Gate, Hyde Park",2016-01-04 14:43:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.158456089,51.50295379,342.0790639
50744674,1320,1075,2016-01-09 10:52:00 UTC,248,"Triangle Car Park, Hyde Park",2016-01-09 10:30:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.170279555,51.50645179,1217.716526
50757926,10620,8135,2016-01-10 14:55:00 UTC,292,"Montpelier Street, Knightsbridge",2016-01-10 11:58:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.165471605,51.49888404,951.8038923
50659100,1440,6429,2016-01-05 09:15:00 UTC,667,"Shepherd's Bush Road North, Shepherd's Bush",2016-01-05 08:51:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.222293381,51.5015946,4763.235159
50642280,6300,4463,2016-01-04 16:26:00 UTC,153,"Bayswater Road, Hyde Park",2016-01-04 14:41:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.174411,51.511933,1746.726826
50747366,2520,25,2016-01-09 13:33:00 UTC,300,"Serpentine Car Park, Hyde Park",2016-01-09 12:51:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.17306032,51.505014,1368.741145
50641853,3240,8239,2016-01-04 15:03:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-04 14:09:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
